date,open,high,low,close,vol
20100104,9.0330,9.0495,8.7557,8.7682,159964606
20100105,8.8592,8.9295,8.6026,8.8344,278278033
20100106,8.8095,8.8137,8.6399,8.6606,233894449
20100107,8.6399,8.7061,8.3999,8.4661,205990015
20100108,8.4164,8.6068,8.3999,8.5613,158795668
20100111,8.9378,9.0206,8.5116,8.5613,281073839
20100112,8.5364,8.6771,8.3833,8.6068,199017997
20100113,8.3792,8.4206,8.1930,8.2054,353804116
20100114,8.2220,8.2840,8.1268,8.2633,186909441
20100115,8.2840,8.3792,8.1599,8.2923,167196170
20100118,8.2385,8.3957,8.2220,8.3751,169024524
20100119,8.3792,8.5199,8.3626,8.4206,169087168
20100120,8.4495,8.4951,8.1102,8.1889,195212591
20100121,8.2261,8.5116,8.1764,8.4702,225763730
20100122,8.3585,8.7309,8.2799,8.6482,373249590
20100125,8.5075,8.6813,8.4495,8.4661,193898426
20100126,8.4785,8.6482,8.3461,8.5613,222183082
20100127,8.5530,8.6068,8.1847,8.2178,227808686
20100128,8.1847,8.2137,8.0192,8.1516,141840241
20100129,8.1102,8.2923,8.0606,8.1185,129752874
20100201,8.1185,8.1185,7.8620,7.9530,124869487
20100202,7.9985,8.1516,7.9323,7.9613,118344810
20100203,7.9902,8.2468,7.8661,8.2302,184860814
20100204,8.1144,8.2302,8.1102,8.1351,111559944
20100205,7.9447,8.1433,7.9282,8.0358,106083352
20100208,8.0482,8.0689,7.8951,7.9530,89976114
20100209,7.9447,8.0647,7.9323,8.0358,64033342
20100210,8.1061,8.1723,8.0689,8.1433,74215636
20100211,8.1475,8.1930,8.1061,8.1268,66158351
20100212,8.1640,8.2261,8.1351,8.1971,71733726
20100222,8.1640,8.2178,8.1020,8.1433,80792042
20100223,8.1309,8.1309,7.9654,8.0647,73880807
20100224,8.0068,8.1433,7.9613,8.1351,94198997
20100225,8.1723,8.6068,8.1723,8.5820,469990088
20100226,8.5820,8.5820,8.5820,8.5820,0
20100301,8.5820,8.5820,8.5820,8.5820,0
20100302,8.5820,8.5820,8.5820,8.5820,0
20100303,8.5820,8.5820,8.5820,8.5820,0
20100304,8.5820,8.5820,8.5820,8.5820,0
20100305,8.5820,8.5820,8.5820,8.5820,0
20100308,8.5820,8.5820,8.5820,8.5820,0
20100309,8.5820,8.5820,8.5820,8.5820,0
20100310,8.5820,8.5820,8.5820,8.5820,0
20100311,8.6895,9.0206,8.6482,8.8137,556497759
20100312,8.8219,8.9047,8.6978,8.7061,181039231
20100315,8.6895,8.7516,8.5157,8.5571,140476289
20100316,8.5364,8.7723,8.4868,8.7682,136164164
20100317,8.7847,8.9999,8.6688,8.9668,219292360
20100318,8.9626,9.1902,8.9171,8.9792,215047200
20100319,9.0288,9.1199,8.8964,9.0206,108163538
20100322,9.0413,9.2481,9.0413,9.1902,233540322
20100323,9.2068,9.2813,9.0578,9.1033,151203882
20100324,9.1240,9.2647,9.1033,9.1157,123476257
20100325,9.0868,9.0868,8.8799,8.9419,126906465
20100326,8.9047,9.3144,8.9047,9.2109,199372351
20100329,9.2895,9.5668,9.2316,9.5088,337128025
20100330,9.5088,9.5088,9.5088,9.5088,0
20100331,9.5461,9.5543,9.3930,9.4261,130988438
20100401,9.4219,9.5668,9.3723,9.4550,140601561
20100402,9.4592,9.5585,9.4344,9.4799,98547068
20100406,9.5378,9.6743,9.4799,9.5130,130041638
20100407,9.5171,9.5502,9.3268,9.4261,122288966
20100408,9.3102,9.5047,9.3102,9.3433,113285966
20100409,9.3516,9.5254,9.3475,9.4923,92783737
20100412,9.5171,9.5378,9.1902,9.2813,139916354
20100413,9.2688,9.5668,9.2068,9.5295,203157120
20100414,9.5668,9.5668,9.4178,9.4675,93926258
20100415,9.5006,9.5088,9.3061,9.4219,102254902
20100416,9.3806,9.3847,9.1116,9.1281,132833359
20100419,8.9750,8.9750,8.4785,8.5075,297906509
20100420,8.5033,8.5654,8.2757,8.4992,154345670
20100421,8.4661,8.6440,8.3957,8.6316,134701077
20100422,8.5613,8.5613,8.3089,8.3544,168203956
20100423,8.3585,8.6275,8.2551,8.4371,202453909
20100426,8.4495,8.6026,8.3668,8.4661,111601956
20100427,8.3833,8.4247,8.1847,8.3213,139768116
20100428,8.3213,8.3213,8.3213,8.3213,0
20100429,8.3792,8.5240,8.3420,8.3544,130734549
20100430,8.3999,8.5364,8.3420,8.5199,126310616
20100504,8.3668,8.5116,8.2344,8.3544,111580157
20100505,8.2551,8.4206,8.1392,8.4040,132275266
20100506,8.3171,8.3171,7.8620,7.8785,180453807
20100507,7.7213,7.8951,7.6344,7.6758,148767892
20100510,7.7461,7.9240,7.6551,7.8537,109621514
20100511,8.0440,8.0771,7.6551,7.7585,143543028
20100512,7.6427,7.9613,7.6261,7.9406,196068069
20100513,7.9033,8.2592,7.8620,8.1557,188588581
20100514,8.0730,8.1268,7.9571,8.0275,92610962
20100517,7.9323,7.9323,7.6964,7.7213,105863043
20100518,7.7502,8.0689,7.7461,8.0068,150242756
20100519,7.9282,8.1392,7.8620,7.9695,96780683
20100520,7.9033,8.0482,7.7751,7.8247,93955077
20100521,7.6468,7.9861,7.6137,7.9571,98547774
20100524,8.0192,8.2757,8.0192,8.1682,149620888
20100525,8.1102,8.1351,7.8578,7.9199,126892062
20100526,7.9489,8.0192,7.8371,7.9075,61849300
20100527,7.8951,7.9944,7.7792,7.9902,75597353
20100528,8.0771,8.1102,7.8744,7.9158,78150277
20100531,7.8206,7.9075,7.6551,7.6716,125136462
20100601,7.6427,7.7502,7.5723,7.6220,101111905
20100602,7.6054,7.6468,7.4771,7.6137,76090739
20100603,7.6509,7.6964,7.5144,7.5309,100220592
20100604,7.5020,7.5640,7.4689,7.5185,69612166
20100607,7.4068,7.4689,7.2785,7.2992,114575473
20100608,7.3199,7.3696,7.1089,7.1999,96793047
20100609,7.2371,7.6716,7.1047,7.6551,225286992
20100610,7.3696,7.5309,7.3480,7.3696,97481812
20100611,7.4072,7.6224,7.3749,7.4341,117450368
20100615,7.4341,7.4341,7.4341,7.4341,0
20100617,7.4825,7.6009,7.4072,7.4502,89038171
20100618,7.4556,7.6385,7.4126,7.4771,122288535
20100621,7.5309,7.8752,7.4502,7.7891,183895159
20100622,7.7569,7.8913,7.7246,7.7945,80004918
20100623,7.7461,7.8160,7.5793,7.6654,72780779
20100624,7.6439,7.7999,7.5524,7.7138,63925611
