date,open,high,low,close,vol
20180523,10.88,10.79,10.8,10.89,21194469
20180524,10.83,10.76,10.79,10.84,15229580
20180525,10.83,10.68,10.71,10.83,19016226
20180528,10.71,10.61,10.76,10.79,18370343
20180529,10.7,10.61,10.64,10.74,16933980
20180530,10.56,10.39,10.44,10.6,32230788
20180531,10.46,10.46,10.55,10.69,45532670
20180601,10.6,10.53,10.68,10.69,18365527
20180604,10.76,10.7,10.75,10.83,16180325
20180605,10.71,10.61,10.66,10.75,18692609
20180606,10.64,10.53,10.55,10.64,14983603
20180607,10.56,10.51,10.62,10.66,23355633
20180608,10.55,10.37,10.42,10.57,27181997
20180611,10.38,10.28,10.42,10.43,18004293
20180612,10.41,10.3,10.35,10.41,16085667
20180613,10.3,10.18,10.21,10.33,19961576
20180614,10.16,10.16,10.22,10.26,17557528
20180615,10.22,10.19,10.3,10.34,19914990
20180619,10.23,9.81,9.92,10.24,42988471
20180620,9.92,9.87,9.89,9.98,18915740
20180621,9.88,9.75,9.83,9.98,23636961
20180622,9.83,9.67,9.76,9.83,25040001
20180625,9.77,9.55,9.56,9.82,24244380
20180626,9.6,9.35,9.48,9.6,24424095
20180627,9.41,9.36,9.37,9.53,24913770
20180628,9.33,9.32,9.5,9.61,30741337
20180629,9.56,9.45,9.56,9.6,19493546
20180702,9.55,9.23,9.29,9.55,22669089
20180703,9.29,9.2,9.35,9.38,24123551
20180704,9.34,9.28,9.31,9.42,14464777
20180705,9.26,9.22,9.26,9.35,16495438
20180706,9.31,9.17,9.37,9.43,22594443
20180709,9.37,9.37,9.6,9.63,22172565
20180710,9.61,9.5,9.57,9.65,12402837
20180711,9.37,9.32,9.38,9.44,15203933
20180712,9.41,9.39,9.57,9.61,19704837
20180713,9.57,9.46,9.49,9.58,15026339
20180716,9.5,9.34,9.41,9.54,14414119
20180717,9.41,9.38,9.44,9.48,13713495
20180718,9.51,9.48,9.51,9.64,18922700
20180719,9.6,9.53,9.56,9.62,18360482
20180720,9.56,9.47,9.87,9.95,33275650
20180723,9.91,9.74,9.96,10.03,31484434
20180724,9.98,9.97,10.02,10.14,36424560
20180725,10.12,9.96,10.02,10.12,15889970
20180726,10.07,9.95,9.96,10.08,15206330
20180727,9.96,9.93,9.99,10.04,12120067
20180730,9.99,9.97,10.13,10.16,20096364
